1:1	Petrus|Peter ein|a Apostel|[Apostel] Jesu|Jesus Christi|Christ den|the erwählten|elect Fremdlingen|pilgrim hin|away und|and her|dispersed in|in Pontus|Pontus Galatien|[Galatien] Kappadozien|Cappadocia Asien|[Asien] und|also Bithynien|[Bithynien]
1:2	nach|after der|the Vorsehung|foreknowledge Gottes|god des|of-the Vaters|Father durch|by die|the Heiligung|[Heiligung] des|of-the Geistes|Spirit zum|into Gehorsam|obedience und|also zur|to-the Besprengung|sprinkling mit|with dem|the Blut|blood Jesu|Jesus Christi|Christ Gott|God gebe|multiply euch|you viel|multiply Gnade|grace und|also Frieden|peace
1:3	Gelobet|[Gelobet] sei|blessed Gott|god und|also der|the Vater|Father unsers|our HERRN|Lord Jesu|Jesus Christi|Christ der|which uns|us nach|after seiner|his Barmherzigkeit|mercy wiedergeboren|[wiedergeboren] hat|has zu|into einer|one lebendigen|live Hoffnung|hope durch|by die|the Auferstehung|[Auferstehung] Jesu|Jesus Christi|Christ von|of den|the Toten|dead
1:4	zu|into einem|a unvergänglichen|[unvergänglichen] und|also unbefleckten|[unbefleckten] und|also unverwelklichen|[unverwelklichen] Erbe|inheritance das|the behalten|keep wird|keep im|by Himmel|heaven
1:5	euch|you die|which ihr|you aus|by Gottes|god Macht|power durch|by den|the Glauben|faith bewahrt|[bewahrt] werdet|keep zur|into Seligkeit|salvation die|the bereitet|ready ist|is daß|that sie|they offenbar|[offenbar] werde|will zu|by der|the letzten|last Zeit|time
1:6	In|by derselben|which werdet|will ihr|you euch|you freuen|[freuen] die|the ihr|you jetzt|was-giving-birth eine|a kleine|[kleine] Zeit|few wo|if es|it sein|is soll|must traurig|troubled seid|grieve in|by mancherlei|divers Anfechtungen|temptation
1:7	auf|on daß|that euer|your Glaube|faith rechtschaffen|trying und|and viel|many köstlicher|precious erfunden|[erfunden] werde|find denn|for das|the vergängliche|[vergängliche] Gold|gold das|the durchs|by Feuer|fire bewährt|[bewährt] wird|prove zu|into Lob|praise Preis|honour und|also Ehre|glory wenn|when nun|by offenbart|revealed-himself wird|will Jesus|Jesus Christus|Christ
1:8	welchen|which ihr|you nicht|no gesehen|know und|and doch|please liebhabt|[liebhabt] und|and nun|now an|into ihn|which glaubet|believe wie|as wohl|well ihr|you ihn|him nicht|not sehet|see und|and werdet|will euch|you freuen|[freuen] mit|with herrlicher|glorify und|also unaussprechlicher|[unaussprechlicher] Freude|joy
1:9	und|and das|the Ende|end eures|your Glaubens|faith davonbringen|receive nämlich|namely der|the Seelen|soul Seligkeit|salvation
1:10	Nach|of dieser|which Seligkeit|salvation haben|have gesucht|require und|also geforscht|[geforscht] die|the Propheten|prophet die|which von|of der|the Gnade|grace geweissagt|[geweissagt] haben|prophesy so|then auf|into euch|you kommen|come sollte|would
1:11	und|and haben|have geforscht|search auf|into welche|what und|or welcherlei|what Zeit|time deutete|declare der|the Geist|Spirit Christi|Christ der|which in|by ihnen|them war|was und|and zuvor|former bezeugt|[bezeugt] hat|has die|the Leiden|suffering die|the über|into Christus|Christ kommen|come sollten|should und|also die|the Herrlichkeit|glory darnach|with
1:12	welchen|which es|it offenbart|revealed-himself ist|is Denn|that sie|they haben|have s|[s] nicht|no sich|himself selbst|himself sondern|and uns|us dargetan|serve was|what euch|you nun|now verkündigt|reveals ist|is durch|by die|the so|then euch|you das|the Evangelium|[Evangelium] verkündigt|reveals haben|preach durch|by den|the heiligen|[heiligen] Geist|Spirit der|the vom|from-the Himmel|heaven gesandt|sent ist|is was|which auch|also die|the Engel|angel gelüstet|desire zu|to schauen|look
1:13	Darum|wherefore so|then begürtet|[begürtet] die|the Lenden|loins eures|your Gemütes|mind seid|are nüchtern|[nüchtern] und|and setzet|[setzet] eure|your Hoffnung|trust ganz|all auf|on die|the Gnade|grace die|the euch|you angeboten|[angeboten] wird|bring durch|by die|the Offenbarung|[Offenbarung] Jesu|Jesus Christi|Christ
1:14	als|as gehorsame|obedience Kinder|child und|and stellt|set euch|you nicht|not gleichwie|conform to vormals|first da|then ihr|your in|by Unwissenheit|[Unwissenheit] nach|after den|the Lüsten|lust lebtet|[lebtet]
1:15	sondern|but nach|after dem|the der|the euch|you berufen|[berufen] hat|call und|and heilig|awesome ist|is seid|be auch|also ihr|you heilig|awesome in|by allem|all eurem|your Wandel|[Wandel]
1:16	Denn|because es|it steht|is geschrieben|write “Ihr|[“Ihr] sollt|be heilig|awesome sein|be denn|that ich|I bin|am heilig|awesome ”|[”]
1:17	Und|also sintemal|if ihr|you den|the zum|as-a Vater|Father anruft|call der|which ohne|without Ansehen|see der|the Person|[Person] richtet|judge nach|after eines|one jeglichen|every Werk|work so|then führt|[führt] euren|your Wandel|[Wandel] solange|time ihr|your hier|here wallt|stranger mit|by Furcht|fear
1:18	und|and wisset|know daß|that ihr|you nicht|no mit|with vergänglichem|corruptible Silber|silver oder|or Gold|gold erlöst|redeemed seid|redeem von|of eurem|your eitlen|vain Wandel|[Wandel] nach|after väterlicher|[väterlicher] Weise|manner
1:19	sondern|but mit|with dem|the teuren|precious Blut|blood Christi|Christ als|as eines|one unschuldigen|innocence und|also unbefleckten|[unbefleckten] Lammes|[Lammes]
1:20	der|the zwar|indeed zuvor|former ersehen|seen ist|foreknow ehe|before der|the Welt|world Grund|foundation gelegt|lain ward|foundation aber|and offenbart|appear zu|on den|the letzten|last Zeiten|time um|by euretwillen|you
1:21	die|which ihr|you durch|by ihn|him glaubet|believe an|into Gott|god der|the ihn|him auferweckt|[auferweckt] hat|rise von|of den|the Toten|dead und|also ihm|him die|the Herrlichkeit|glory gegeben|give auf|on daß|wherefore ihr|your Glauben|faith und|also Hoffnung|hope zu|into Gott|god haben|have möchtet|be
1:22	Und|and machet|[machet] keusch|[keusch] eure|your Seelen|soul im|by Gehorsam|obedience der|the Wahrheit|faithfulness durch|by den|the Geist|Spirit zu|into ungefärbter|[ungefärbter] Bruderliebe|brotherly love und|and habt|have euch|you untereinander|to-one-another inbrünstig|[inbrünstig] lieb|loved aus|of reinem|pure Herzen|heart
1:23	als|when die|the da|then wiedergeboren|[wiedergeboren] sind|are nicht|no aus|of vergänglichem|corruptible sondern|but aus|from unvergänglichem|[unvergänglichem] Samen|offspring nämlich|namely aus|by dem|the lebendigen|live Wort|word Gottes|god das|the da|then ewig|into bleibt|abide
1:24	Denn|because “|[“] alles|all Fleisch|flesh ist|is wie|as Gras|grass und|also alle|all Herrlichkeit|glory der|the Menschen|man wie|as des|of-the Grases|grass Blume|[Blume] Das|the Gras|grass ist|is verdorrt|wither und|also die|the Blume|[Blume] abgefallen|fall
1:25	aber|and des|of-the HERRN|Lord Wort|word bleibt|abide in|into Ewigkeit|[Ewigkeit] ”|[”] Das|this ist|is aber|and das|the Wort|word welches|which unter|into euch|you verkündigt|reveals ist|preach
