1:1	Am|on-the Anfang|beginning schuf|create Gott|God Himmel|heaven und|and Erde|earth
1:2	Und|and die|the Erde|earth war|be thou wüst|vain und|and leer|empty und|and es|it war|was finster|darkness auf|on der|the Tiefe|face und|and der|the Geist|wind Gottes|of-God schwebte|shake auf|above dem|the Wasser|face
1:3	Und|and Gott|God sprach|said Es|it werde|be thou Licht|light und|and es|it ward|was Licht|light
1:4	Und|and Gott|God sah|see daß|and das|the Licht|light gut|good war|was Da|then schied|separated Gott|God das|the Licht|light von|from der|the Finsternis|darkness
1:5	und|and nannte|call das|the Licht|light Tag|time und|and die|the Finsternis|darkness Nacht|night Da|then ward|was aus|from Abend|even und|and Morgen|morning der|the erste|first Tag|time
1:6	Und|and Gott|God sprach|said Es|it werde|will eine|a Feste|firmament zwischen|midst den|the Wassern|water und|and die|the sei|be ein|a Unterschied|separation zwischen|between den|the Wassern|water
1:7	Da|then machte|make Gott|God die|the Feste|firmament und|and schied|separated das|the Wasser|water unter|under der|the Feste|firmament von|from dem|the Wasser|water über|over der|the Feste|firmament Und|and es|it geschah|happened also|prepare
1:8	Und|and Gott|God nannte|call die|the Feste|firmament Himmel|heaven Da|then ward|was aus|from Abend|even und|and Morgen|morning der|the andere|second Tag|time
1:9	Und|and Gott|God sprach|said Es|it sammle|wait sich|himself das|the Wasser|water unter|under dem|the Himmel|heaven an|to besondere|one Örter|place daß|that man|one das|the Trockene|dry sehe|see Und|and es|it geschah|happened also|so
1:10	Und|and Gott|God nannte|call das|the Trockene|dry Erde|earth und|and die|the Sammlung|hope der|the Wasser|water nannte|call er|he Meer|sea Und|and Gott|God sah|see daß|that es|it gut|good war|was
1:11	Und|and Gott|God sprach|said Es|it lasse|bring-forth die|the Erde|earth aufgehen|spring Gras|grass und|and Kraut|herb das|the sich|himself besame|seed und|and fruchtbare|fruit Bäume|tree da|then ein|a jeglicher|one nach|after seiner|his Art|kind Frucht|fruit trage|make und|and habe|have seinen|his eigenen|own Samen|seed bei|with sich|himself selbst|itself auf|on Erden|earth Und|and es|it geschah|happened also|so
1:12	Und|and die|the Erde|earth ließ|had aufgehen|bring Gras|grass und|and Kraut|herb das|the sich|himself besamte|seed ein|a jegliches|one nach|after seiner|his Art|kind und|and Bäume|tree die|the da|then Frucht|fruit trugen|make und|and ihren|their eigenen|seed Samen|offspring bei|with sich|himself selbst|seed hatten|had ein|a jeglicher|one nach|after seiner|his Art|kind Und|and Gott|God sah|see daß|that es|it gut|good war|was
1:13	Da|then ward|was aus|from Abend|even und|and Morgen|morning der|the dritte|third Tag|time
1:14	Und|and Gott|God sprach|said Es|it werden|be Lichter|light an|to der|the Feste|firmament des|of-the Himmels|heaven die|the da|then scheiden|divide Tag|time und|and Nacht|night und|and geben|give Zeichen|sign Zeiten|congregation Tage|time und|and Jahre|year
1:15	und|and seien|be Lichter|light an|to der|the Feste|firmament des|of-the Himmels|heaven daß|that sie|they scheinen|shine auf|on Erden|earth Und|and es|it geschah|happened also|so
1:16	Und|and Gott|God machte|make zwei|two große|great Lichter|light ein|a großes|great Licht|light das|the den|the Tag|time regiere|dominion und|and ein|a kleines|small Licht|light das|the die|the Nacht|night regiere|dominion dazu|also auch|also Sterne|star
1:17	Und|and Gott|God setzte|put sie|they an|to die|the Feste|firmament des|of-the Himmels|heaven daß|that sie|they schienen|shine auf|on die|the Erde|earth
1:18	und|and den|the Tag|time und|and die|the Nacht|night regierten|rule und|and schieden|divided Licht|light und|and Finsternis|darkness Und|and Gott|God sah|see daß|that es|it gut|good war|was
1:19	Da|then ward|was aus|from Abend|even und|and Morgen|morning der|the vierte|fourth Tag|time
1:20	Und|and Gott|God sprach|said Es|it errege|swarm sich|himself das|the Wasser|water mit|with webenden|swarming und|and lebendigen|living Tieren|creatures und|and Gevögel|fowl fliege|fly auf|above Erden|earth unter|face der|the Feste|firmament des|of-the Himmels|heaven
1:21	Und|and Gott|God schuf|create große|great Walfische|dragon und|and allerlei|every Getier|soul daß|that da|then lebt|live und|and webt|creep davon|from-which das|the Wasser|water sich|himself erregte|creep ein|a jegliches|one nach|after seiner|his Art|kind und|and allerlei|every gefiedertes|wing Gevögel|fowl ein|a jegliches|one nach|after seiner|his Art|kind Und|and Gott|God sah|see daß|that es|it gut|good war|was
1:22	Und|and Gott|God segnete|bless sie|they und|and sprach|said Seid|are fruchtbar|fruitful und|and mehrt|multiply euch|you und|and erfüllt|fill das|the Wasser|water im|in-the Meer|sea und|and das|the Gefieder|fowl mehre|multiply sich|himself auf|on Erden|earth
1:23	Da|then ward|was aus|from Abend|even und|and Morgen|morning der|the fünfte|fifth Tag|time
1:24	Und|and Gott|God sprach|said Die|the Erde|earth bringe|bring hervor|FORTH lebendige|living Tiere|creatures ein|a jegliches|one nach|after seiner|his Art|kind Vieh|livestock Gewürm|creeping-things und|and Tiere|beasts auf|on Erden|earth ein|a jegliches|one nach|after seiner|his Art|kind Und|and es|it geschah|happened also|so
1:25	Und|and Gott|God machte|make die|the Tiere|live auf|on Erden|earth ein|a jegliches|one nach|after seiner|his Art|kind und|and das|the Vieh|livestock nach|after seiner|his Art|kind und|and allerlei|every Gewürm|that creepeth auf|on Erden|earth nach|after seiner|his Art|kind Und|and Gott|God sah|see daß|that es|it gut|good war|was
