1:1	Jakobus|James ein|a Knecht|servant Gottes|god und|also des|of-the HERRN|Lord Jesu|Jesus Christi|Christ den|the zwölf|twelve Geschlechtern|tribe die|the da|then sind|are hin|away und|and her|by Freude|rejoice zuvor|former
1:2	Meine|my lieben|[lieben] Brüder|brothers achtet|[achtet] es|count für|for eitel|all Freude|joy wenn|when ihr|you in|in mancherlei|divers Anfechtungen|temptation fallet|fall among
1:3	und|and wisset|know daß|that euer|your Glaube|faith wenn|when er|he rechtschaffen|trying ist|is Geduld|patience wirkt|work
1:4	Die|the Geduld|patience aber|and soll|shall festbleiben|have bis|until ans|the Ende|perfect auf|on daß|that ihr|you seid|be vollkommen|perfect und|also ganz|whole und|and keinen|by Mangel|[Mangel] habet|lack
1:5	So|then aber|and jemand|whosoever unter|under euch|your Weisheit|wisdom mangelt|lack der|the bitte|of Gott|god der|the da|then gibt|give einfältig|[einfältig] jedermann|all und|also rücket|[rücket] s|upbraid niemand|not auf|upbraid so|also wird|will sie|they ihm|him gegeben|given werden|give
1:6	Er|he bitte|please aber|and im|by Glauben|faith und|and zweifle|doubt nicht|nothing denn|and wer|who da|then zweifelt|doubt der|the ist|is wie|be like die|the Meereswoge|raging die|the vom|from-the Winde|[Winde] getrieben|sent-away und|also gewebt|[gewebt] wird|will
1:7	Solcher|that Mensch|man denke|suppose nicht|not daß|that er|he etwas|certain von|of dem|the HERRN|Lord empfangen|receive werde|receive
1:8	Ein|a Zweifler|double minded ist|is unbeständig|[unbeständig] in|by allen|all seinen|his Wegen|way
1:9	Ein|a Bruder|brother aber|and der|the niedrig|humble ist|is rühme|glory sich|by seiner|his Höhe|height
1:10	und|and der|the da|then reich|rich ist|is rühme|[rühme] sich|by seiner|his Niedrigkeit|humiliation denn|that wie|as eine|a Blume|[Blume] des|of-the Grases|grass wird|will er|he vergehen|pass
1:11	Die|and Sonne|sun geht|goes auf|on mit|with der|the Hitze|heat und|also das|the Gras|grass verwelkt|wither und|also seine|his Blume|[Blume] fällt|[fällt] ab|fall und|also seine|his schöne|beautiful Gestalt|grace verdirbt|[verdirbt] also|so wird|fade away. mara n der|the Reiche|rich in|by seinen|his Wegen|way verwelken|fade away. mara n
1:12	Selig|blessed ist|is der|the Mann|man der|which die|the Anfechtung|temptation erduldet|endure denn|that nachdem|when er|he bewährt|approved ist|be wird|will er|he die|the Krone|crown des|of-the Lebens|life empfangen|receive welche|which Gott|Lord verheißen|promised hat|promise denen|them die|the ihn|him liebhaben|love
1:13	Niemand|nothing sage|speak wenn|when er|he versucht|[versucht] wird|tempt daß|that er|he von|from Gott|god versucht|[versucht] werde|tempt Denn|and Gott|god kann|can nicht|not versucht|[versucht] werden|be zum|as-a Bösen|evil und|and er|he selbst|itself versucht|tempt niemand|nothing
1:14	Sondern|and ein|a jeglicher|every wird|will versucht|tempt wenn|when er|he von|of seiner|his eigenen|privately Lust|lust gereizt|draw away und|also gelockt|[gelockt] wird|will
1:15	Darnach|then wenn|when die|the Lust|lust empfangen|receive hat|take gebiert|bear sie|they die|the Sünde|sin die|the Sünde|sin aber|and wenn|when sie|they vollendet|finished ist|is gebiert|[gebiert] sie|they den|the Tod|death
1:16	Irret|deceive nicht|not liebe|my Brüder|brothers
1:17	Alle|all gute|good Gabe|giving und|also alle|all vollkommene|perfect Gabe|gift kommt|is von|from obenherab|[obenherab] von|from dem|the Vater|Father des|of-the Lichts|light bei|of welchem|which ist|is keine|no Veränderung|variableness noch|or Wechsel|[Wechsel] des|of-the Lichtes|[Lichtes] und|and der|the Finsternis|darkness
1:18	Er|he hat|has uns|us gezeugt|fathered nach|after seinem|his Willen|will durch|through das|the Wort|word der|the Wahrheit|faithfulness auf|on daß|into wir|us wären|be Erstlinge|[Erstlinge] seiner|his Kreaturen|creature
1:19	Darum|wherefore liebe|my Brüder|brothers ein|a jeglicher|all Mensch|man sei|be schnell|swift zu|into hören|hears langsam|slow aber|but zu|into reden|speak und|and langsam|slow zum|into Zorn|wrath
1:20	Denn|and des|of-the Menschen|man Zorn|wrath tut|work nicht|no was|what vor|before Gott|god recht|righteousness ist|is
1:21	Darum|wherefore so|then leget|[leget] ab|his-last alle|all Unsauberkeit|filthiness und|also alle|abundance Bosheit|malice und|and nehmet|receive das|the Wort|word an|receive mit|by Sanftmut|meekness das|the in|in euch|you gepflanzt|engrafted ist|is welches|which kann|able eure|your Seelen|soul selig|happy machen|save
1:22	Seid|be aber|and Täter|doer des|of-the Worts|word und|also nicht|not Hörer|[Hörer] allein|only wodurch|[wodurch] ihr|you euch|you selbst|himself betrügt|beguile
1:23	Denn|that so|then jemand|whosoever ist|is ein|a Hörer|[Hörer] des|of-the Worts|word und|also nicht|no ein|a Täter|doer der|this ist|is gleich|be like einem|a Mann|man der|the sein|his leiblich|generation Angesicht|face im|by Spiegel|[Spiegel] beschaut|consider
1:24	Denn|and nachdem|when er|he sich|himself beschaut|[beschaut] hat|consider geht|goes er|he davon|from-which und|also vergißt|forget von|from Stund|[Stund] an|immediately wie|what manner  of er|he gestaltet|[gestaltet] war|was
1:25	Wer|who aber|and durchschaut|look in|into das|the vollkommene|perfect Gesetz|law der|the Freiheit|liberty und|also darin|in-it beharrt|continue und|this ist|be nicht|no ein|a vergeßlicher|forgetful Hörer|[Hörer] sondern|but ein|a Täter|doer der|this wird|will selig|blessed sein|be in|by seiner|his Tat|did
1:26	So|then sich|himself jemand|whosoever unter|by euch|you läßt|let dünken|think er|he diene|[diene] Gott|religious und|and hält|bridle seine|his Zunge|tongue nicht|not im|in-the Zaum|bridle sondern|but täuscht|[täuscht] sein|his Herz|heart des|this Gottesdienst|religion ist|is eitel|vain
1:27	Ein|a reiner|pure unbefleckter|[unbefleckter] Gottesdienst|religion vor|of Gott|god dem|the Vater|Father ist|is der|this Die|the Waisen|comfortless und|also Witwen|widow in|by ihrer|their Trübsal|tribulation besuchen|visit und|and sich|himself von|from der|the Welt|world unbefleckt|[unbefleckt] erhalten|keep
2:1	Liebe|my Brüder|brothers haltet|have nicht|not dafür|[dafür] daß|that der|the Glaube|faith an|to Jesum|Jesus Christum|Christ unsern|our HERRN|Lord der|the Herrlichkeit|glory Ansehung|[Ansehung] der|the Person|respect of persons leide|[leide]
2:2	Denn|and so|if in|into eure|your Versammlung|synagogue käme|enter ein|a Mann|man mit|with einem|a goldenen|gold Ringe|with a gold ring und|and mit|by einem|a herrlichen|bright Kleide|apparel es|it käme|enter aber|and auch|also ein|a Armer|poor in|by einem|a unsauberen|vile Kleide|apparel
2:3	und|also ihr|you sähet|[sähet] auf|regard den|on der|the das|the herrliche|bright Kleid|apparel trägt|bear und|also sprächet|say zu|to ihm|him Setze|sit du|thou dich|you her|here aufs|to-the beste|well und|also sprächet|say zu|to dem|the Armen|poor Stehe|stand du|thou dort|there oder|or setze|sit dich|sit her|here zu|of meinen|my Füßen|footstool
2:4	ist|is s|[s] recht|right daß|that ihr|you solchen|such Unterschied|doubt bei|by euch|you selbst|himself macht|power und|also richtet|judge nach|after argen|evil Gedanken|thought
2:5	Höret|hear zu|to meine|my lieben|[lieben] Brüder|brothers Hat|choose nicht|no Gott|god erwählt|choose die|the Armen|poor auf|on dieser|this Welt|world die|the am|by Glauben|faith reich|rich sind|are und|also Erben|heir des|of-the Reichs|[Reichs] welches|which er|he verheißen|promised hat|promise denen|them die|the ihn|him liebhaben|love
2:6	Ihr|ye aber|and habt|have dem|the Armen|poor Unehre|[Unehre] getan|done Sind|oppress nicht|no die|the Reichen|rich die|the die|the Gewalt|power an|to euch|your üben|oppress und|also ziehen|draw euch|you vor|into Gericht|stew
2:7	Verlästern|[Verlästern] sie|they nicht|no den|the guten|good Namen|name nach|after dem|on ihr|you genannt|called seid|call
2:8	So|if ihr|yet das|the königliche|[königliche] Gesetz|law erfüllet|finish nach|after der|the Schrift|scripture “|[“] Liebe|my deinen|thy Nächsten|neighbour wie|as dich|you selbst|thyself ”|[”] so|then tut|do ihr|do wohl|well
2:9	so|if ihr|you aber|and die|the Person|[Person] ansehet|have respectto persons tut|do ihr|work Sünde|sin und|and werdet|will überführt|reprove vom|of Gesetz|law als|as Übertreter|transgressor
2:10	Denn|and so|then jemand|which das|the ganze|all Gesetz|law hält|keep und|and sündigt|offend an|by einem|one der|the ist|is s|be ganz|all schuldig|in dangerof
