1:1	Und|and der|the HERR|GOD redete|speak mit|with Mose|Moses in|in der|the Wüste|wilderness Sinai|Sinai in|in der|the Hütte|tent des|of-the Stifts|congregation am|on-the ersten|firstborn Tage|days des|of-the zweiten|second Monats|month im|in-the zweiten|second Jahr|year da|then sie|they aus|from Ägyptenland|Egypt gegangen|came-out waren|bring und|and sprach|said
1:2	Nehmet|bear die|the Summe|head der|the ganzen|whole Gemeinde|congregation der|the Kinder|old Israel|Israelites nach|after ihren|their Geschlechtern|families und|and Vaterhäusern|[Vaterhäusern] und|and Namen|name alles|all was|what männlich|male ist|is von|from Haupt|head zu|to Haupt|poll
1:3	von|from zwanzig|twenty Jahren|year an|to und|and darüber|upward was|what ins|into-the Heer|host zu|to ziehen|go taugt|bring in|in Israel|Israelites ihr|you sollt|shall sie|they zählen|number nach|after ihren|their Heeren|host du|you und|and Aaron|[Aaron]
1:4	Und|and sollt|shall zu|to euch|you nehmen|take je|two vom|from-the Stamm|tribe einen|a Hauptmann|head über|over sein|his Vaterhaus|[Vaterhaus]
1:5	Dies|this sind|are die|the Namen|name der|the Hauptleute|[Hauptleute] die|the neben|beside euch|you stehen|standing sollen|stood von|from Ruben|Reuben sei|be Elizur|[Elizur] der|the Sohn|old Sedeurs|Shedeur
1:6	von|from Simeon|Simeon sei|be Selumiel|Shelumiel der|the Sohn|old Zuri-|[Zuri-] Saddais|Zurishaddai
1:7	von|from Juda|Judah sei|be Nahesson|Nahshon der|the Sohn|old Amminadabs|Amminadab
1:8	von|from Isaschar|Issachar sei|be Nathanael|Nethaneel der|the Sohn|old Zuars|Zuar
1:9	von|from Sebulon|Zebulun sei|be Eliab|[Eliab] der|the Sohn|old Helons|Helon
1:10	von|from den|the Kindern|old Josephs|Joseph von|from Ephraim|Ephraim sei|be Elisama|[Elisama] der|the Sohn|old Ammihuds|Ammihud von|from Manasse|Manasseh sei|be Gamliel|Gamaliel der|the Sohn|old Pedazurs|Pedahzur
1:11	von|from Benjamin|Benjamin sei|be Abidan|[Abidan] der|the Sohn|old des|of-the Gideoni|Gideoni
1:12	von|from Dan|Dan sei|be Ahieser|[Ahieser] der|the Sohn|old Ammi-|[Ammi-] Saddais|Ammishaddai
1:13	von|from Asser|Asher sei|be Pagiel|Pagiel der|the Sohn|old Ochrans|Ocran
1:14	von|from Gad|Gad sei|be Eljasaph|[Eljasaph] der|the Sohn|old Deguels|Deuel
1:15	von|from Naphthali|Naphtali sei|be Ahira|[Ahira] der|the Sohn|old Enans|Enan
1:16	Das|the sind|famous die|the Vornehmsten|call der|the Gemeinde|congregation die|the Fürsten|prince unter|under den|the Stämmen|tribe ihrer|their Väter|fathers die|walk da|then Häupter|head über|over die|the Tausende|[Tausende] in|in Israel|Israelites waren|were
1:17	Und|and Mose|Moses und|and Aaron|[Aaron] nahmen|take sie|they zu|to sich|himself wie|as sie|they da|then mit|with Namen|name genannt|called sind|curse
1:18	und|and sammelten|gather auch|also die|the ganze|whole Gemeinde|congregation am|on-the ersten|firstborn Tage|days des|of-the zweiten|second Monats|month und|and rechneten|[rechneten] nach|after ihrer|their Geburt|beget nach|after ihren|their Geschlechtern|families und|and Vaterhäusern|[Vaterhäusern] und|and Namen|name von|from zwanzig|twenty Jahren|year an|to und|and darüber|upward von|from Haupt|head zu|to Haupt|poll
1:19	wie|as der|the HERR|GOD dem|the Mose|Moses geboten|commanded hatte|command und|and zählten|number sie|they in|in der|the Wüste|wilderness Sinai|Sinai
