1:1	Paulus|Paul ein|a Knecht|servant Jesu|Jesus Christi|Christ berufen|called zum|as-a Apostel|[Apostel] ausgesondert|[ausgesondert] zu|into predigen|call das|the Evangelium|gospel Gottes|god
1:2	welches|which er|he zuvor|former verheißen|promised hat|promise before durch|by seine|his Propheten|prophet in|by der|the heiligen|[heiligen] Schrift|scripture
1:3	von|of seinem|his Sohn|son der|which geboren|born ist|be von|of dem|the Samen|seed Davids|David nach|after dem|the Fleisch|flesh
1:4	und|and kräftig|by erwiesen|determine als|when ein|a Sohn|son Gottes|god nach|after dem|the Geist|Spirit der|the da|then heiligt|[heiligt] seit|[seit] der|the Zeit|of da|then er|he auferstanden|[auferstanden] ist|is von|from den|the Toten|dead Jesus|Jesus Christus|Christ unser|our HERR|Lord
1:5	durch|by welchen|which wir|we haben|have empfangen|receive Gnade|grace und|also Apostelamt|[Apostelamt] unter|by allen|all Heiden|Gentiles den|into Gehorsam|obedience des|of-the Glaubens|faith aufzurichten|[aufzurichten] unter|for seinem|his Namen|name
1:6	unter|by welchen|which ihr|ye auch|also seid|are die|the da|then berufen|[berufen] sind|called von|from Jesu|Jesus Christo|Christ
1:7	allen|all die|the zu|by Rom|Rome sind|being den|the Liebsten|[Liebsten] Gottes|god und|and berufenen|called Heiligen|[Heiligen] Gnade|grace sei|be mit|with euch|you und|also Friede|peace von|from Gott|god unserm|our Vater|Father und|also dem|the HERRN|Lord Jesus|Jesus Christus|Christ
1:8	Aufs|to-the erste|first danke|thank ich|I meinem|my Gott|god durch|by Jesum|Jesus Christum|Christ euer|your aller|all halben|for daß|that man|one von|from eurem|your Glauben|faith in|by aller|all Welt|world sagt|preach
1:9	Denn|and Gott|god ist|is mein|my Zeuge|witness welchem|which ich|I diene|serve in|by meinem|my Geist|Spirit am|by Evangelium|gospel von|from seinem|his Sohn|son daß|as ich|I ohne|without Unterlaß|[Unterlaß] euer|your gedenke|do
1:10	und|and allezeit|always in|on meinem|my Gebet|prayer flehe|pray ob|whether sich|himself s|[s] einmal|if by any means zutragen|[zutragen] wollte|prosper daß|that ich|I zu|unto euch|you käme|come durch|by Gottes|god Willen|will
1:11	Denn|and mich|me verlangt|long euch|you zu|to sehen|know auf|on daß|that ich|I euch|you mitteile|impart etwas|certain geistlicher|spiritual Gabe|gift euch|you zu|into stärken|stablish
1:12	das|and ist|is daß|that ich|I samt|by euch|you getröstet|comforted würde|comfort together durch|by euren|your und|also meinen|me Glauben|faith den|the wir|we untereinander|to-one-another haben|have
1:13	Ich|I will|desire euch|you aber|and nicht|no verhalten|[verhalten] liebe|my Brüder|brothers daß|that ich|I mir|me oft|often habe|have vorgesetzt|purpose zu|unto euch|you zu|to kommen|come bin|forbid aber|also verhindert|forbid bisher|since daß|that ich|I auch|also unter|by euch|you Frucht|fruit schaffte|have gleichwie|as unter|by andern|other Heiden|Gentiles
1:14	Ich|I bin|am ein|a Schuldner|debtor der|the Griechen|Greek und|also der|the Ungriechen|[Ungriechen] der|the Weisen|wise und|also der|the Unweisen|[Unweisen]
