1:1	Am|in-the Anfang|beginning schuf|created Gott|God Himmel|heaven und|and Erde|earth
1:2	Und|and die|the Erde|earth war|was wüst|formless und|and leer|empty und|and es|it war|was finster|dark auf|upon der|the Tiefe|deep und|and der|the Geist|Spirit Gottes|of-God schwebte|hovered auf|over dem|the Wasser|water
1:3	Und|and Gott|God sprach|spoke Es|let-there werde|be Licht|light und|and es|there ward|was Licht|light
1:4	Und|and Gott|God sah|saw daß|that das|the Licht|light gut|good war|was Da|then schied|separated Gott|God das|the Licht|light von|from der|the Finsternis|darkness
1:5	und|and nannte|called das|the Licht|light Tag|day und|and die|the Finsternis|darkness Nacht|night Da|then ward|was aus|from Abend|evening und|and Morgen|morning der|the erste|first Tag|day
1:6	Und|and Gott|God sprach|spoke Es|let-there werde|be eine|a Feste|firmament zwischen|between den|the Wassern|waters und|and die|it sei|be ein|a Unterschied|separation zwischen|between den|the Wassern|waters
1:7	Da|then machte|made Gott|God die|the Feste|firmament und|and schied|separated das|the Wasser|water unter|under der|the Feste|firmament von|from dem|the Wasser|water über|above der|the Feste|firmament Und|and es|it geschah|happened also|so
1:8	Und|and Gott|God nannte|called die|the Feste|firmament Himmel|heaven Da|then ward|was aus|from Abend|evening und|and Morgen|morning der|the andere|second Tag|day
1:9	Und|and Gott|God sprach|spoke Es|let sammle|gather sich|itself das|the Wasser|water unter|under dem|the Himmel|heaven an|to besondere|one Örter|place daß|that man|one das|the Trockene|dry-land sehe|see Und|and es|it geschah|happened also|so
1:10	Und|and Gott|God nannte|called das|the Trockene|dry-land Erde|earth und|and die|the Sammlung|gathering der|of-the Wasser|waters nannte|called er|he Meer|sea Und|and Gott|God sah|saw daß|that es|it gut|good war|was
1:11	Und|and Gott|God sprach|spoke Es|let lasse|bring-forth die|the Erde|earth aufgehen|sprout Gras|grass und|and Kraut|herb das|that sich|itself besame|seeds und|and fruchtbare|fruit-bearing Bäume|trees da|where ein|each jeglicher|one nach|according-to seiner|its Art|kind Frucht|fruit trage|bears und|and habe|has seinen|its eigenen|own Samen|seed bei|in sich|itself selbst|itself auf|upon Erden|earth Und|and es|it geschah|happened also|so
