36:1	Das|this ist|is das|the Geschlecht|genealogy Esaus|of-Esau der|who da|is heißt|called Edom|Edom
36:2	Esau|Esau nahm|took Weiber|wives von|from den|the Töchtern|daughters Kanaans|of-Canaan Ada|Adah die|the Tochter|daughter Elons|of-Elon des|the Hethiters|Hittite und|and Oholibama|Oholibamah die|the Tochter|daughter des|of Ana|Anah die|the Enkelin|granddaughter des|of Zibeons|Zibeon des|the Heviters|Hivite
36:3	und|and Basmath|Basemath Ismaels|Ishmael's Tochter|daughter Nebajoths|Nebaioth's Schwester|sister
36:4	Und|and Ada|Adah gebar|bore dem|to Esau|Esau Eliphas|Eliphaz aber|and Basmath|Basemath gebar|bore Reguel|Reuel
36:5	Oholibama|Oholibamah gebar|bore Jehus|Jeush Jaelam|Jalam und|and Korah|Korah Das|these sind|are Esaus|Esau's Kinder|sons die|who ihm|to-him geboren|were-born sind|were im|in-the Lande|land Kanaan|of-Canaan
36:6	Und|and Esau|Esau nahm|took seine|his Weiber|wives Söhne|sons und|and Töchter|daughters und|and alle|all Seelen|persons seines|of-his Hauses|household seine|his Habe|possessions und|and alles|all Vieh|livestock mit|with allen|all Gütern|property so|that er|he im|in-the Lande|land Kanaan|of-Canaan erworben|acquired hatte|had und|and zog|went in|to ein|another ander|other Land|land hinweg|away von|from seinem|his Bruder|brother Jakob|Jacob
36:7	Denn|for ihre|their Habe|possessions war|was zu|too groß|great daß|that sie|they nicht|not konnten|could beieinander|together wohnen|dwell und|and das|the Land|land darin|where sie|they Fremdlinge|sojourned waren|were vermochte|could sie|them nicht|not zu|to ertragen|support vor|because-of der|the Menge|abundance ihres|of-their Viehs|livestock
36:8	Also|so wohnte|settled Esau|Esau auf|in dem|the Gebirge|hill-country Seir|of-Seir Und|and Esau|Esau ist|is der|that-is Edom|Edom
36:9	Dies|this ist|is das|the Geschlecht|genealogy Esaus|of-Esau von|from dem|whom die|the Edomiter|Edomites herkommen|descended auf|in dem|the Gebirge|hill-country Seir|of-Seir
36:10	Und|and so|these heißen|are-named die|the Kinder|sons Esaus|of-Esau Eliphas|Eliphaz der|the Sohn|son Adas|of-Adah Esaus|Esau's Weibes|wife Reguel|Reuel der|the Sohn|son Basmaths|of-Basemath Esaus|Esau's Weibes|wife
36:11	Des|of Eliphas|Eliphaz Söhne|sons aber|now waren|were diese|these Theman|Teman Omar|Omar Zepho|Zepho Gaetham|Gatam und|and Kenaz|Kenaz
